Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Runtime,View Rating,IMDb Score,Awards Received,Awards Nominated For,Release Date,Netflix Release Date,Korean content
Madame Bovary,Drama,Dramas,"English, French, Latin, German",Movie,3.7,0.5,5.0,5.7,0.0,2.0,2015-06-12 00:00:00.000000000,2021-02-15 00:00:00.000000000,False
LEnfer,Drama,Dramas,Greek,Movie,6.7,1.5,5.0,5.5,0.0,8.0,2012-02-23 00:00:00.000000000,2021-02-15 00:00:00.000000000,False
Betty,Comedy,Dramas,English,Movie,7.6,0.5,14.0,6.7,0.0,1.0,2020-05-01 00:00:00.000000000,2021-02-15 00:00:00.000000000,False
Wheel of Fortune,Family,US TV Shows,English,Series,7.0,1.5,13.0,6.7,9.0,75.0,1983-09-19 00:00:00.000000000,2021-02-15 00:00:00.000000000,False
The Big Day,Comedy,Reality TV,Danish,Series,7.5,2.0,10.502906976744185,5.4,0.0,0.0,2005-03-18 00:00:00.000000000,2021-02-15 00:00:00.000000000,False
Capitani,Drama,TV Dramas,Luxembourgish,Series,8.4,1.5,5.0,7.1,0.0,0.0,2021-02-11 00:00:00.000000000,2021-02-12 00:00:00.000000000,False
News of the World,Drama,Dramas,"English, German",Movie,3.5,2.0,12.0,6.9,2.0,46.0,2020-12-25 00:00:00.000000000,2021-02-11 00:00:00.000000000,False
Oh Happy Day,Drama,Comedies,"Danish, English",Movie,7.4,1.5,14.0,5.6,0.0,8.0,2004-11-05 00:00:00.000000000,2021-02-10 00:00:00.000000000,False
Kenny Begins,Comedy,Comedies,Swedish,Movie,6.3,0.75,5.0,5.8,0.0,0.0,2009-03-25 00:00:00.000000000,2021-02-10 00:00:00.000000000,False
Cold Lunch,Drama,Dramas,Norwegian,Movie,6.4,1.5,10.502906976744185,5.0,4.0,5.0,2008-02-01 00:00:00.000000000,2021-02-10 00:00:00.000000000,False
Space Sweepers,Drama,Dramas,"Korean, English",Movie,5.0,0.5,5.0,6.6,0.0,0.0,2021-02-05 00:00:00.000000000,2021-02-06 00:00:00.000000000,True
